NOMBRE DE LA FARMACIA,NOMBRE DE CONTACTO,DIRECCION,DEPARTAMENTO,MUNICIPIO,TELEFONO,CELULAR,NIT
1000LAGROSA,MARI ROSI ARUQUIPA LUCERO,"AVENIDA LITORAL, N° 1015, ESQUINA CALLE ANTA PAMPA, ZONA URBANIZACION COSMOS 79 D3, CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,68162275,9946361013
10 DE OCTUBRE,RUTH MOJICA GONZALES,"CALLE ILLAMPU, ENTRE GRANEROS Y PLAZA EGUINO NO.619, ZONA EL ROSARIO, DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,77761096,1000366013
12 DE ENERO JUNTO A TI,,"CALLE ZOILO FLORES, N° 1024, EDIFICIO ZAR P.B. LOCAL 1, ZONA SAN PEDRO BAJO, ENTRE CALLE RIOBAMBA Y RODRIGUEZ DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,73200054 - 78770555,6730066016
12 DE ENERO JUNTO A TI SUCURSAL 2,CINTHYA GABRIELA CHUQUIMIA LIMA,"CALLE SANTA CRUZ NO. 421, P.B., CASI ESQ. ILLAMPU, ZONA EL ROSARIO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,73200054-72589573,6730066016
12 DE FEBRERO CUIDA TU SALUD,,"CALLE D, NO. 7220, ENTRE LA CALLE 6 Y LA CALLE PEATONAL 7, ZONA RIO SECO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,77243780,4902786015
16 DE JULIO-V.S.,EDSON IVAN QUISBERT SINCA,"AV. 16 DE JULIO NO. 461, EDF. LIBERTAD, PLANTA BAJA, LOCAL 1, ZONA 16 DE JULIO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,2842673,,8300286011
17 DE SEPTIEMBRE,BETTY QUENTA CHAMBI,"AVENIDA GUADALQUIVIR NO. 114, ZONA NUEVOS HORIZONTES DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,,4747036012
18 DE ENERO,MARIA TERESA MACHICADO CHOQUE,AV. PERIFERICA NO. 250 ENTRE CALLE 5 Y CALLE ADRIAN PARIENTE ZONA CUPILUPACA DE LA CIUDAD DE LA PAZ,LA PAZ,LA PAZ,,78887529-71570756,11089075016
19 DE FEBRERO,,"AVENIDA JUAN PABILO II, EDIF. TORREZ, PISO, PISO PB OFICINA 1, NO. 1155, ENTRE CALLE 1 Y PLAZA DE LA LUNA, ZONA FERROPRETROL DE LA CIUDAD DE EL ALTO.",LA PAZ,EL ALTO,,67198120,4979364014
25 DE JULIO,SUSY PEGGY FLORES GUTIERREZ,"CALLE 9, NO. 72, ESQUINA AV.. 2, FRENTE A LA PLAZA MINERO, ZONA SANTIAGO II DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,73221606,2409799017
